ytid,path,caption,aspect_list,audioset_labels,sr
2xATintzaj4,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\2xATintzaj4.wav,The song is an instrumental. The song is medium tempo with an electric guitar playing chords and strumming rhythm with no other instrumentation. The song is emotional and interesting. The song is probably a demo of a guitar or guitar amplifier. The audio is average quality.,"['electric guitar', 'strumming chords', 'virtuoso', 'guitar lessons online', 'guitar strumming rhythm', 'guitar amplifiers', 'guitar demonstration', 'live performance', 'youtube music video', 'average audio quality', 'medium tempo', 'instrumental music', 'emotional', 'spirited', 'soloist', 'ambient room noises']","/m/02rr_,/m/02sgy,/m/0342h,/m/04rlf,/m/04szw,/m/07m2kt,/m/0fx80y",32000
2xGRCsW6-Bk,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\2xGRCsW6-Bk.wav,"The low quality recording features a Champeta song that consists of wooden percussive elements, electric guitar solo melody, funky electric rhythm guitar chords, shimmering shakers and hi hats and smooth bass guitar. It sounds funky and like something you would dance to in a bar.","['low quality', 'champeta', 'wooden percussive elements', 'electric guitar solo melody', 'funky electric rhythm guitar chords', 'shimmering shakers', 'shimmering hi hats', 'smooth bass guitar', 'funky']","/m/04rlf,/m/05r5wn",32000
2xQuWif8axE,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\2xQuWif8axE.wav,This is a live recording of an instrumental progressive metal piece. A solo is being played on the electric guitar at a very fast pace using the technique of shredding. Rapid jumps from medium to high range notes can be heard. The atmosphere is aggressive.,"['live recording', 'progressive metal', 'instrumental', 'no singer', 'single instrument', 'electric guitar', 'guitar solo', 'shredding', 'fast-paced', 'aggressive']","/m/02sgy,/m/04rlf,/m/07szfh9,/m/0g12c5",32000
31iD2VPLMxQ,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\31iD2VPLMxQ.wav,"The song is an instrumental. The tempo is slow with a poignant violin solo, keyboard accompaniment, percussion drums, strong bass line and a guitar accompaniment. The song is emotional and has a sense of grief and awe. The song is a documentary soundtrack.","['instrumental music', 'slow tempo', 'sad', 'heartfelt', 'documentary soundtrack', 'nature', 'relaxing', 'comforting', 'percussive drums', 'mother earth', 'heart rending', 'guitar accompaniment', 'violin solo', 'keyboard accompaniment', 'steady percussive rhythm', 'poignant', 'sentimental', 'emotional']","/m/04rlf,/t/dd00034",32000
338iZ76huSQ,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\338iZ76huSQ.wav,This new age song features a guitar solo being played. This is accompanied by a tabla on the percussion. The bass plays the root notes of the chord with no flourishes and embellishments. An angelic voice sings vocables in the background. The voice does not sing any lyrics. The mood of this song is relaxing. This song can be played in a meditation center.,"['new age song', 'guitar solo', 'tabla', 'vocables backing', 'bass', 'no vocal melody', 'angelic voice', 'relaxing song', 'slow tempo']","/m/04rlf,/m/07kc_",32000
36ToDxW_hns,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\36ToDxW_hns.wav,"The low quality recording features a cover of a rock and it consists of passionately played solo acoustic guitar melody over staccato strings melody playing in the background on playback. Even though the recording is noisy, it sounds emotional and passionate.","['low quality', 'staccato strings melody', 'passionate solo acoustic guitar melody', 'noisy', 'cover', 'rock', 'playback', 'emotional', 'passionate']","/m/0342h,/m/04rlf,/m/04rzd,/m/04szw,/m/0fx80y",32000
3ClbaJYWVO4,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\3ClbaJYWVO4.wav,"This is a gear showcase jam. There is a clean sounding electric guitar with an echo effect being played in a gentle manner. The recording has a dreamy, trippy atmosphere. Parts of this recording can be lifted as samples to be used in beat-making. An advertisement jingle could also be derived from this piece.","['jam', 'no singer', 'instrumental', 'single instrument', 'electric guitar', 'guitar solo', 'effect pedal', 'echo', 'easygoing', 'mellow', 'simple tune', 'dreamy', 'trippy']","/m/01jnbd,/m/02rr_,/m/02sgy,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y",32000
3jLef5eHgzU,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\3jLef5eHgzU.wav,This audio contains someone playing a distorted e-guitar solo in a higher register along with acoustic drums with cymbal hits and a half open hit. An e-bass is underlining the rhythm. There are digital comedic noises and laughter that seem not to be part of the musical composition. This song may be playing in a comedic tv-show.,"['amateur recording', 'comedic', 'crowd laughing', 'digital soundeffects', 'e-guitar', 'acoustic drums', 'e-bass', 'medium tempo', 'ecstatic']","/m/0155w,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/0fx80y",32000
3w3fD54bNvU,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\3w3fD54bNvU.wav,The song is an instrumental. The song is medium tempo with a guitar playing lead and several guitarists playing harmony  and accompaniment and a pick scratching guitar strings producing a percussive line. The song is immersive and has a classic country gun fight duel vibe to it. The song has ambient room noises.,"['guitar band', 'guitar solo', 'scratching tones', 'guitar pick percussions', 'song covers', 'strings scratched with plectrum percussions', 'live performance', 'live audience', 'ambient room noises', 'echoes', 'average audio quality', 'groovy music', 'instrumental music', 'country music', 'tense', 'suspense', 'gunslingers', 'groovy', 'story tellers', 'the wild west', 'emotional', 'passionate', 'heroes and villains', 'legends', 'epic stories', 'electric guitar', 'rhythm guitars', 'cowboys']","/m/0342h,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y",32000
3zPvfVmL0nE,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\3zPvfVmL0nE.wav,This audio contains someone playing a drum with a big kick drum and snare sound playing cymbals along with a tambourine. In the background you can hear an electric organ playing long minor chords while a distorted e-guitar is playing a solo sounding as someone singing. This song may be playing live at a festival.,"['rock&roll', 'acoustic drums', 'e-guitar', 'tambourine', 'organ', 'medium to uptempo']","/m/05r6t,/m/06by7",32000
40i3_JH6FYw,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\40i3_JH6FYw.wav,This is a recording of an instrumental jam. There is a blues type solo being performed on an overdriven electric guitar. The guitar has an 80s sound. This recording could be sampled for use in beat-making or as an advertisement jingle.,"['jam', 'instrumental', 'single instrument', 'overdriven electric guitar', 'guitar solo', '80s sound', 'blues']","/m/01b9nn,/m/02rr_,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y,/m/0g12c5,/m/0l14_3",32000
4H1nc2Xv2Hg,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\4H1nc2Xv2Hg.wav,"The song is an instrumental. The tempo is slow and unsure, with a guitarist attempting to play a minor scale and gets the scale wrong. The song has poor audio quality with ambient traffic noise in the background.","['guitarist', 'acoustic guitar', 'minor scale played wrong', 'guitar playing video', 'amateur player', 'guitar learner', 'ambient room noise', 'instrumental music', 'soloist', 'guitar solo', 'boring', 'unsteady playing', 'youtube music video', 'guitar demonstration', 'dissonant notes', 'poor audio quality', 'traffic noise']","/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y",32000
4LZSSya3ZZQ,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\4LZSSya3ZZQ.wav,The low quality recording features a flat male vocal talking over an acoustic guitar solo melody playing in the background. It sounds like a tutorial and the recording is in mono.,"['low quality', 'flat male vocal', 'acoustic guitar solo melody', 'tutorial', 'mono']","/m/018vs,/m/0342h,/m/04rlf,/m/04szw,/m/07s0s5r,/m/09x0r,/m/0fx80y",32000
4VbXYuCz4M0,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\4VbXYuCz4M0.wav,"The low quality recording features a live performance that consists of harmonica solo melody played over acoustic rhythm guitar chords. The recording is noisy, in mono and it sounds happy and joyful.","['low quality', 'noisy', 'mono', 'harmonica solo melody', 'acoustic rhythm guitar chords', 'happy', 'joyful', 'live performance']","/m/03qjg,/m/085jw",32000
4bXb6GLm6zg,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\4bXb6GLm6zg.wav,This is the live performance of a blues music piece. It is an instrumental performance. The lead electric guitar is playing a blues solo while another electric guitar and a bass guitar are playing in the background. The rhythmic background consists of a slow tempo blues acoustic drum beat. There is a groovy atmosphere to this performance. This piece could be playing in the background at a rock bar.,"['live performance', 'blues', 'instrumental', 'electric guitar', 'guitar solo', 'bass guitar', 'acoustic drums', 'groovy', 'crunchy', 'slow tempo']","/m/0155w,/m/02sgy,/m/0342h,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y",32000
4sD0Bvt3FKk,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\4sD0Bvt3FKk.wav,A blues rock song is being played. Containing drums that are playing a simple groove along with a blues bassline that is supported by an e-guitar playing the same melody. So does a piano just in a higher pitch adding harmony. The female voices are singing together. Then an e-guitar starts playing a little solo-melody. There are some airy background noises that seem not to belong to the recording. This song may be playing at a local car workshop.,"['country/blues/rock', 'female voices singing', 'e-guitar', 'acoustic drums', 'piano', 'b ackground noises', 'e-bass', 'medium tempo']","/m/04rlf,/m/07qlf79",32000
5r4jLwjj_Ik,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\5r4jLwjj_Ik.wav,This is a jazz music piece. There is a saxophone playing a solo in the lead. A tuba is playing the bass line. There is an electric guitar strumming chords. The rhythm is being played on the ride cymbal by the acoustic drums. The instrumentals have a sophisticated feel. This piece could be playing in the background at a classy restaurant.,"['jazz', 'tuba', 'saxophone', 'electric guitar', 'acoustic drums', 'melancholic', 'sophisticated']","/m/01kcd,/m/06ncr",32000
6jdeSAmkzEU,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\6jdeSAmkzEU.wav,Someone is playing a distorted e-guitar solo melody with a lot of reverb over another e-guitar finger picking chords. This is an amateur recording. This song may be playing guitar at home.,"['amateur recording', 'e-guitars', 'medium tempo']","/m/01jnbd,/m/02rr_,/m/02sgy,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y,/m/0g12c5",32000
752bW5cjXzw,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\752bW5cjXzw.wav,This folk rock song features an electric guitar playing the main melody in the form of a solo. This is accompanied by fast paced percussion. Another guitar plays a galloping rhythm. A violin plays staccato notes at a fast tempo and the notes follow the root notes of the chords but at higher octaves. This is an instrumental song with no voices. This song has a hippie feel. This song can be played in a retro movie with a hippie theme.,"['folk rock', 'no voices', 'instrumental', 'fast tempo', 'low quality audio', 'electric guitar', 'distortion guitar', 'fast paced percussion', 'staccato violin', 'uptempo']","/m/015lz1,/m/04rlf,/m/07s8j8t",32000
7L5HQ4AJyLc,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\7L5HQ4AJyLc.wav,"The song is a hardcore, fiery and intense rock song. There are layers of electric guitar that are overdriven and drums that are powerful. There's a breakdown section that sees snare rolls and a motif on the electric guitar.","['rock', 'overdriven electric guitar', 'contemporary rock', 'fiery', 'energetic', 'intricate electric guitar solo', 'rock drumming', 'breakdown section']","/m/04rlf,/m/07szfh9",32000
7PtHb9jQCtg,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\7PtHb9jQCtg.wav,This is an amateur recording of a rock music concert. There is an electric guitar playing the main tune while another electric guitar is starting to play a solo. A bass guitar can be heard in the background playing the root notes of the tune. There is a loud acoustic drum beat in the rhythmic background. The recording is a bit outdated so the quality is pretty low.,"['amateur recording', 'live performance', 'rock music', 'electric guitar', 'bass guitar', 'acoustic drums', 'fans shouting', 'screams']","/m/04rlf,/m/07rwj3x,/t/dd00127",32000
7V0G65FK2VQ,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\7V0G65FK2VQ.wav,"The song is an instrumental guitar solo. The song tempo is medium with a racy electric guitar solo with a show of technique of note bending, tremolo and playing rhythmically. The song is home video and an average quality recording.","['electric guitar lead', 'note bending', 'playing rhythm guitar', 'solo guitarist', 'soloist', 'no other instrumentation', 'no percussions', 'home video', 'poor quality video', 'guitar technique', 'guitar a', 'plification', 'medium tempo', 'spirited', 'emotional', 'youthful', 'groovy', 'energetic']","/m/01glhc,/m/02sgy,/m/0342h,/m/04rlf,/m/0g12c5",32000
7ZW8xO37bA4,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\7ZW8xO37bA4.wav,"The low quality recording features a reverberant, electric guitar solo melody. The recording is noisy and in mono.","['electric guitar solo melody', 'noisy mono', 'reverberant', 'low quality']","/m/01glhc,/m/02rr_,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y,/m/0g12c5",32000
7_yBcHaoR0w,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\7_yBcHaoR0w.wav,"This music is an electric guitar lead instrumental. The tempo is slow with no accompaniment and ambient sounds like a popping and swishing sound. The music is a rhythmic, controlled, pleasant, melancholic, sentimental and emotional Electric guitar solo.","['instrumental', 'slow tempo', 'electric guitar lead', 'rock', 'hard rock', 'metal', 'heavy metal', 'soft rock', 'electric guitar', 'external amplification', 'ambient sounds', 'popping sound', 'rustling sound', 'electric guitar lead', 'vibrations', 'resounding']","/m/01jnbd,/m/02sgy,/m/04rlf",32000
7xD_Ib3VS_w,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\7xD_Ib3VS_w.wav,"The low quality recording features widely spread electric guitar melodies. One of the melodies is solo and it is panned to the right channel, while the other one is an arpeggiated electric guitar melody, and it is panned to the left channel of the stereo image. The recording is a bit noisy and weird, since it is a bit too wide, but it also sounds passionate.","['low quality', 'noisy', 'wide', 'electric guitar melody solo', 'arpeggiated electric guitar melody', 'passionate', 'weird']","/m/018vs,/m/01jnbd,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/0fx80y",32000
9FLDpfkbxZs,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\9FLDpfkbxZs.wav,This song is led by a e-guitar solo playing a lightly distorted guitar on the upper register. An acoustic guitar panned to the left and right side of the speakers is playing chords along with a bass that gets slapped and an acoustic drums in the background. This song may be played at a live concert.,"['progressive rock', 'acoustic guitar', 'pad sounds', 'e-guitar solo', 'acoustic drums', 'slap-bass', 'slow to medium tempo']","/m/04rlf,/m/05w3f,/m/06by7,/m/0dl5d",32000
9x7jWb4lE7c,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\9x7jWb4lE7c.wav,This is an instrument showcase jam. There is an electric guitar with a mellow sound strumming simple chords. The atmosphere is easygoing. Parts of this piece can be used as an advertisement jingle. It could also be sampled for use in beat-making.,"['jam', 'no singer', 'instrumental', 'single instrument', 'electric guitar', 'guitar solo', 'easygoing', 'simple tunes']","/m/0342h,/m/04rlf,/m/04szw,/m/0b_fwt,/m/0fx80y,/t/dd00125",32000
AD5Tc2TDCmM,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\AD5Tc2TDCmM.wav,"This song features a guitar playing a solo.  This is played in the style of a banjo in a bluegrass song. The guitar is playing fast licks. The bass plays the root note and lower fifth of the chords. A percussion plays a simple beat and ends with a crash. There are no voices in this song. This song is an instrumental song. Due to the low quality of the audio, other instruments cannot be identified. This song can be played in a bluegrass concert.","['bluegrass', 'country style melody', 'bass', 'guitar song', 'no voices', 'instrumental', 'guitar solo', 'guitar played like a banjo', 'fast tempo', 'low quality audio']","/m/03_d0,/m/04rlf",32000
AFwtBviVhhM,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\AFwtBviVhhM.wav,"This song is an instrumental. The tempo is medium with an enthusiastic electric guitar solo. There are no other instruments used. The guitar riff is loud, enthusiastic and youthful.","['instrumental', 'electric guitar feedback', 'vibrations', 'sonic power', 'electric guitar solo', 'medium tempo', 'enthusiastic', 'energetic', 'vibrant']","/m/01b9nn,/m/02rr_,/m/02sgy,/m/04rlf",32000
ALVS3Q_jNaU,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\ALVS3Q_jNaU.wav,"This is the recording of a jazz reggae concert. There is a saxophone lead playing a solo. There is a keyboard and an electric guitar playing the main tune with the backing of a bass guitar. In the rhythmic background, there is an acoustic reggae drum beat. The atmosphere is groovy and chill. This piece could be playing in the background at a beach. It could also be included in the soundtrack of a summer/vacation/tropical themed movie.","['jazz', 'reggae', 'live performance', 'concert', 'saxophone', 'keyboard', 'electric guitar', 'bass guitar', 'acoustic drums', 'groovy', 'relaxing', 'calm', 'chill', 'tropical', 'jam']","/m/0155w,/m/02rr_,/m/02sgy,/m/0342h,/m/04rlf,/m/06cqb,/m/0fx80y,/m/0g12c5",32000
AVuh8-CucrE,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\AVuh8-CucrE.wav,"The low quality recording features funky electric guitar chords, electric guitar solo melody and groovy bass playing in the background. The recording is very noisy, distorted and harsh, but it is still easygoing and chill - like something you would listen to when you are trying to relax.","['low quality', 'noisy', 'mono', 'funky electric guitar chords', 'electric guitar solo melody', 'groovy bass', 'easygoing', 'distorted', 'harsh', 'chill', 'relaxing']","/m/04rlf,/m/06bz3,/m/07sbbz2,/m/0fx80y",32000
AgtY6m-b3Gk,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\AgtY6m-b3Gk.wav,"This is an instrumental jazz improvisation piece with heavy bossa nova influences. There is an over-arching bossa nova syncopation not only being played by the acoustic drums in the backing track but also followed by the electric rhythm guitar and the bass guitar. The lead is a guitar solo being played by a gentle sounding electric guitar. Although there are complex chords and riffs, the general atmosphere is tranquil. This piece could be playing in the background of a restaurant. It could also be included in the soundtrack of a movie during serene scenery.","['jam', 'jazz', 'bossa nova', 'no singer', 'instrumental', 'electric guitar', 'guitar solo', 'bass guitar', 'acoustic drums', 'soft', 'sensual', 'tranquil']","/m/0342h,/m/03_d0,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y",32000
